epoch,dice_coef,loss,val_dice_coef,val_loss,learning_rate
1,0.06679784506559372,0.1708214432001114,0.04612971842288971,0.09717852622270584,0.0010000000474974513
2,0.08034426718950272,0.10900646448135376,0.04802592471241951,0.07130556553602219,0.0010000000474974513
3,0.08461262285709381,0.08814401924610138,0.05493404343724251,0.05670147016644478,0.0010000000474974513
4,0.09114059805870056,0.07281509041786194,0.07111649215221405,0.047248125076293945,0.0010000000474974513
5,0.0927797332406044,0.06117921695113182,0.08578521758317947,0.039039988070726395,0.0010000000474974513
6,0.0978502407670021,0.05147606506943703,0.09409764409065247,0.03606709465384483,0.0010000000474974513
7,0.10161027312278748,0.04368181154131889,0.10266623646020889,0.03150998428463936,0.0010000000474974513
8,0.10504203289747238,0.03722483292222023,0.1097540557384491,0.027497228235006332,0.0010000000474974513
9,0.10946747660636902,0.03178926557302475,0.1152392327785492,0.02472553960978985,0.0010000000474974513
10,0.11526547372341156,0.02718900889158249,0.1196325495839119,0.02214949205517769,0.0010000000474974513
11,0.11950952559709549,0.02341075986623764,0.12385261058807373,0.019864521920681,0.0010000000474974513
12,0.12571120262145996,0.02017149329185486,0.12868870794773102,0.017405815422534943,0.0010000000474974513
13,0.13068439066410065,0.017603231593966484,0.1329926699399948,0.01561394240707159,0.0010000000474974513
14,0.13537386059761047,0.015427974052727222,0.138827845454216,0.013549122959375381,0.0010000000474974513
15,0.13858848810195923,0.013669283129274845,0.14154386520385742,0.012215983122587204,0.0010000000474974513
16,0.14792515337467194,0.012025799602270126,0.14653679728507996,0.011142449453473091,0.0010000000474974513
17,0.15078040957450867,0.010803179815411568,0.15144135057926178,0.009760672226548195,0.0010000000474974513
18,0.15641391277313232,0.009734989143908024,0.15829546749591827,0.008663872256875038,0.0010000000474974513
19,0.15843167901039124,0.00890947412699461,0.1645490974187851,0.007952568121254444,0.0010000000474974513
20,0.16507601737976074,0.008127517066895962,0.16999100148677826,0.007314907852560282,0.0010000000474974513
21,0.170063778758049,0.0074759479612112045,0.17462517321109772,0.006825984455645084,0.0010000000474974513
22,0.17432530224323273,0.006880900822579861,0.17922987043857574,0.006239588838070631,0.0010000000474974513
23,0.17767992615699768,0.006448572035878897,0.1841820925474167,0.0061585265211761,0.0010000000474974513
24,0.18349024653434753,0.005989910569041967,0.18713189661502838,0.00546240946277976,0.0010000000474974513
25,0.1868966966867447,0.005802632309496403,0.19177347421646118,0.005284810904413462,0.0010000000474974513
26,0.1916717141866684,0.005251403898000717,0.19677512347698212,0.005030709318816662,0.0010000000474974513
27,0.19571709632873535,0.0051195574924349785,0.19903171062469482,0.004726799670606852,0.0010000000474974513
28,0.19792425632476807,0.004836527165025473,0.20162026584148407,0.004469999112188816,0.0010000000474974513
29,0.20323245227336884,0.004657120443880558,0.2068965882062912,0.004379859194159508,0.0010000000474974513
30,0.20628221333026886,0.004395779222249985,0.21241746842861176,0.004120197147130966,0.0010000000474974513
31,0.21056881546974182,0.004217714071273804,0.21592243015766144,0.004176460672169924,0.0010000000474974513
32,0.21340472996234894,0.004086533095687628,0.21991287171840668,0.0037529356777668,0.0010000000474974513
33,0.2179139256477356,0.00392833910882473,0.21783553063869476,0.003743863897398114,0.0010000000474974513
34,0.2206994593143463,0.0038696222472935915,0.2219277173280716,0.003530490444973111,0.0010000000474974513
35,0.22277596592903137,0.003659310285001993,0.22875119745731354,0.0034593280870467424,0.0010000000474974513
36,0.231689453125,0.0035402225330471992,0.23227660357952118,0.0034108487889170647,0.0010000000474974513
37,0.22888141870498657,0.0035061973612755537,0.23619569838047028,0.003216794691979885,0.0010000000474974513
38,0.23542338609695435,0.003375829430297017,0.23485352098941803,0.003162775654345751,0.0010000000474974513
39,0.23466284573078156,0.0033301077783107758,0.23901426792144775,0.003089573932811618,0.0010000000474974513
40,0.24022585153579712,0.0032077087089419365,0.24557526409626007,0.0029823814984411,0.0010000000474974513
41,0.24365322291851044,0.0031043877825140953,0.2442716807126999,0.0029486417770385742,0.0010000000474974513
42,0.24750913679599762,0.003087286138907075,0.2508971095085144,0.0028802298475056887,0.0010000000474974513
43,0.2472943663597107,0.0031069384422153234,0.25097814202308655,0.002876973245292902,0.0010000000474974513
44,0.2515358626842499,0.002857453189790249,0.255167692899704,0.0027260060887783766,0.0010000000474974513
45,0.2585352063179016,0.002883152337744832,0.25294429063796997,0.0027135973796248436,0.0010000000474974513
46,0.2574024200439453,0.002844006521627307,0.2592666447162628,0.002654432784765959,0.0010000000474974513
47,0.25692546367645264,0.0028199609369039536,0.2602102756500244,0.002624689834192395,0.0010000000474974513
48,0.2632973790168762,0.0027387733571231365,0.26499029994010925,0.002628771122545004,0.0010000000474974513
49,0.2633742094039917,0.002690730383619666,0.266480028629303,0.0025542443618178368,0.0010000000474974513
50,0.2662106156349182,0.0026827934198081493,0.2663537859916687,0.0024773688055574894,0.0010000000474974513
51,0.27039992809295654,0.002631724113598466,0.2697163224220276,0.0024594187270849943,0.0010000000474974513
52,0.27061524987220764,0.00262844399549067,0.27469295263290405,0.002510393038392067,0.0010000000474974513
53,0.27289247512817383,0.0025284269358962774,0.2762012183666229,0.002405514009296894,0.0010000000474974513
54,0.28164389729499817,0.002459558891132474,0.27732959389686584,0.002372502814978361,0.0010000000474974513
55,0.2765122354030609,0.002578278072178364,0.2769908308982849,0.0023622068110853434,0.0010000000474974513
56,0.28538185358047485,0.0024033496156334877,0.2839133143424988,0.002296361606568098,0.0010000000474974513
57,0.2805434763431549,0.0024469089694321156,0.28528884053230286,0.002285868627950549,0.0010000000474974513
58,0.28765732049942017,0.00243595358915627,0.2839392125606537,0.0023224346805363894,0.0010000000474974513
59,0.28782033920288086,0.0023586798924952745,0.2897283732891083,0.0022660379763692617,0.0010000000474974513
60,0.2884632349014282,0.0023786176461726427,0.2908271253108978,0.0022042696364223957,0.0010000000474974513
61,0.29489755630493164,0.0023701731115579605,0.28826576471328735,0.002235529012978077,0.0010000000474974513
62,0.29161566495895386,0.0023071777541190386,0.2938028573989868,0.002168240025639534,0.0010000000474974513
63,0.2968166470527649,0.0022509898990392685,0.29346778988838196,0.002173191402107477,0.0010000000474974513
64,0.3009618818759918,0.002301410771906376,0.2984490990638733,0.0021793367341160774,0.0010000000474974513
65,0.29703930020332336,0.0022364738397300243,0.2979448139667511,0.002127629704773426,0.0010000000474974513
66,0.30691972374916077,0.002178655471652746,0.299384742975235,0.002116146730259061,0.0010000000474974513
67,0.30046167969703674,0.0022006919607520103,0.3056958019733429,0.002068741712719202,0.0010000000474974513
68,0.30551207065582275,0.002302252920344472,0.30124956369400024,0.0021164482459425926,0.0010000000474974513
69,0.3071868419647217,0.0021471716463565826,0.30902037024497986,0.0020612708758562803,0.0010000000474974513
70,0.31112906336784363,0.0021556171122938395,0.31115615367889404,0.002049640053883195,0.0010000000474974513
71,0.3108482360839844,0.0021094398107379675,0.3122048079967499,0.002079705474898219,0.0010000000474974513
72,0.3108470141887665,0.0021833162754774094,0.30906379222869873,0.0020397468470036983,0.0005000000237487257
73,0.31892743706703186,0.0021544452756643295,0.3120577931404114,0.0020320205949246883,0.0005000000237487257
74,0.30965620279312134,0.0020706946961581707,0.3149096369743347,0.0020218126010149717,0.0005000000237487257
75,0.31933262944221497,0.0020681412424892187,0.3144189417362213,0.0020484086126089096,0.0005000000237487257
76,0.31764593720436096,0.002072214148938656,0.3130905330181122,0.0020278196316212416,0.0005000000237487257
77,0.31741857528686523,0.0021422228310257196,0.31516021490097046,0.0020161112770438194,0.0005000000237487257
78,0.3179483413696289,0.0020506279543042183,0.3158320188522339,0.0019970820285379887,0.0005000000237487257
79,0.3207279443740845,0.0020693542901426554,0.31725144386291504,0.002004846464842558,0.0005000000237487257
80,0.3189060688018799,0.002090078080072999,0.31681695580482483,0.0020055389031767845,0.0005000000237487257
81,0.32270511984825134,0.0020986897870898247,0.3177545964717865,0.001990748569369316,0.0002500000118743628
82,0.3187725245952606,0.0020400783978402615,0.31893765926361084,0.001981694484129548,0.0002500000118743628
83,0.32223251461982727,0.001969321398064494,0.31918466091156006,0.002001544926315546,0.0002500000118743628
